DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
99448894,Sofia Caparros-Polo,Plomero,Viudo/a,10611,31,M
99784295,Julio Alarcon Carreno,Biotecnologo,Viudo/a,9306,26,M
36371673,Ciriaco Puerta Bauza,Marketing Digital,Divorciado/a,17731,75,M
16921883,Angelina Carrion Yanez,Marketing Digital,Soltero/a,2498,47,F
65749128,Olegario Quiros Gras,Actor,Divorciado/a,7225,20,M
16307320,Curro Luz-Batlle,Consultor,Soltero/a,4195,18,F
23226531,Agustina Caceres Alcalde,Plomero,Divorciado/a,2469,65,F
79969870,Francisco Jose de Quiros,Fotografo,Divorciado/a,1613,42,M
95542249,Roman del Cuesta,Cientifico,Viudo/a,3183,29,M
46906415,Custodia Cornejo-Cal,Contador,Casado/a,10381,30,M
57165486,Florentino Tejedor Bayona,Consultor,Casado/a,5206,21,F
86390665,Albert Mesa Cortina,Cantante,Viudo/a,2249,33,F
6383163,Hilda Sanmiguel-Roldan,Cientifico,Viudo/a,1744,51,F
72656827,Nacio Moya Rios,Veterinario,Divorciado/a,17170,44,M
50997989,Jovita Jove-Tome,Biotecnologo,Soltero/a,7583,21,M
6206706,Natividad Tapia Egea,Futbolista,Soltero/a,7402,52,M
61485617,Nadia Roura Cabanillas,Bombero,Soltero/a,17989,28,M
98642433,Serafina Rojas Echevarria,Contador,Soltero/a,5442,38,M
11568246,Ximena Velez Vargas,Enfermero,Divorciado/a,9709,58,F
22671700,Consuelo Rossello,Futbolista,Casado/a,12673,43,M
5502917,Marc Mari-Macias,Cantante,Divorciado/a,18463,79,F
15434208,Visitacion Miranda Guzman,Gerente,Casado/a,5781,30,F
83654453,Reynaldo Cabezas Suarez,Programador,Viudo/a,16723,78,M
25823408,Modesta del Velazquez,Ingeniero,Divorciado/a,6580,64,F
54718751,Gabino Zamora,Comerciante,Viudo/a,5862,21,F
11587342,Atilio Pelaez Almansa,Ingeniero,Viudo/a,1718,29,M
70960527,Isabel Saez Falco,Carpintero,Viudo/a,9909,28,F
20557085,Ciriaco Marco Tomas Moll,Veterinario,Divorciado/a,4984,62,M
95094404,Efrain Frutos Villalba,Cantante,Soltero/a,7850,43,M
54081290,Marcio Pages-Peiro,Veterinario,Viudo/a,18562,44,F
85938829,Mateo Rosales Julian,Docente,Casado/a,10065,34,F
22907560,Ester del Goicoechea,Ingeniero,Viudo/a,5674,79,F
45113666,Albino Serna Giron,Marketing Digital,Soltero/a,3634,64,M
74387618,Hernan Reyes Juan Fajardo,Carpintero,Casado/a,18054,50,F
34885530,Ainara Valle Morata,Psicologo,Divorciado/a,13883,55,F
80143823,Maite Solera Robles,Chef,Casado/a,17803,47,M
17021196,Imelda Ayala Casanova,Programador,Divorciado/a,6965,19,M
99700567,Veronica Girona-Aguilar,Enfermero,Casado/a,1063,69,F
69256099,Desiderio Riera Sotelo,Psicologo,Viudo/a,3814,33,M
12345196,Fidel Julian Clemente Torre,Abogado,Casado/a,1043,51,M
57313416,Catalina Figueroa,Psicologo,Casado/a,17171,66,F
84115809,Luisina Catalan Salom,Enfermero,Casado/a,2744,69,F
85462548,Zaira Jerez Valero,Contador,Casado/a,4219,47,M
1648678,Noa del Carreno,Futbolista,Divorciado/a,1435,31,M
26485310,Virgilio de Pinedo,Analista de datos,Viudo/a,8750,43,F
38072090,Bruno Ovidio Carbajo Santamaria,Carpintero,Viudo/a,2965,53,F
16613732,Inmaculada Santiago Parejo,Enfermero,Viudo/a,3202,60,F
77079182,Tadeo Carbonell,Analista de datos,Soltero/a,5658,62,F
25045166,Elisabet de Jordan,Consultor,Divorciado/a,13082,38,M
44901791,Ignacia Millan Pablo,Contador,Casado/a,2243,32,M
38508520,Alberto Andres Tur,Chef,Viudo/a,6509,48,F
63604859,Baudelio Jaume Perello,Policia,Viudo/a,12619,28,M
80533516,Sabas Correa-Cal,Cantante,Viudo/a,1886,39,F
72946108,Lucia Abella Miro,Agricultor,Soltero/a,4671,72,F
4134100,Lorenzo Escribano Bou,Cantante,Soltero/a,2151,50,F
65842440,Casemiro Uribe Oliver,Contador,Casado/a,4656,29,F
75989736,Silvio Sevilla Rodriguez,Psicologo,Soltero/a,8419,45,F
20582662,Gerardo del Iniesta,Psicologo,Divorciado/a,8106,59,M
86871030,Maxima Gonzalez Landa,Veterinario,Viudo/a,3037,65,M
30753229,Encarnacion Prat Valero,Psicologo,Soltero/a,3687,25,M
62882990,Miguel Angel Maestre Villalobos,Gerente,Soltero/a,17281,34,M
83516177,Eusebia Noguera,Cientifico,Viudo/a,2965,79,M
