DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
94672679,Angelino Almagro,Contador,Soltero/a,17750,59,M
80286380,Jesusa Campo Olivares,Policia,Casado/a,17582,35,F
23507357,Ramona del Requena,Actor,Divorciado/a,3332,53,F
80434807,Chus Prats Rey,Fotografo,Soltero/a,9778,59,F
99828822,Dorotea Barrio-Seco,Marketing Digital,Viudo/a,1442,56,F
23050476,Rafa Mena Infante,Veterinario,Casado/a,3057,51,F
32099203,Osvaldo Torrent Tirado,Enfermero,Viudo/a,10836,45,F
83609485,Reinaldo Almeida Diego,Fotografo,Casado/a,1137,45,F
62586224,Jose Mari Ciriaco Juan Martorell,Futbolista,Divorciado/a,1912,55,M
24901420,Jenaro Aznar Romeu,Actor,Casado/a,7147,39,F
50732290,Jose Maria Carbajo Cerdan,Agricultor,Viudo/a,7909,54,M
77875874,Simon Amigo-Hidalgo,Disenador,Viudo/a,5441,65,F
95049806,Celestino Osuna Amo,Psicologo,Casado/a,16906,48,F
78018487,Marcia Vazquez Pellicer,Chef,Casado/a,1878,76,F
52929604,Bruno Munoz Aller,Analista de datos,Casado/a,9188,55,M
1673384,Teodoro Gabaldon-Codina,Carpintero,Casado/a,3736,46,M
38902543,Bernardo Gabaldon Navarrete,Consultor,Casado/a,3664,45,M
43391125,Fito Bustamante Aliaga,Agricultor,Casado/a,16892,41,F
69005271,Dario Severino Pacheco Salgado,Abogado,Divorciado/a,18026,70,F
3448619,Manuelita Sandoval Nieto,Docente,Soltero/a,12580,40,M
37903289,Geraldo de Larrea,Ingeniero,Casado/a,2257,41,M
77677497,Ines Quevedo-Cano,Enfermero,Casado/a,14087,62,M
60159018,Rogelio Cordoba Sancho,Fotografo,Casado/a,9270,78,M
45735552,Miguel Angel Roig Castells,Ingeniero,Divorciado/a,1781,25,F
18651726,Delfina Quintero Aguilera,Ingeniero,Soltero/a,12005,75,F
83002122,Juanita Gracia Nunez,Docente,Casado/a,3245,68,F
46316858,Chucho Casares,Fotografo,Soltero/a,3067,66,M
80792575,Desiderio Farre Luis,Plomero,Viudo/a,1668,24,M
27181967,Nicolasa Carretero Galvan,Gerente,Viudo/a,2227,39,M
39782055,Cristian Giralt Elias,Docente,Divorciado/a,19140,49,M
49073453,Edelmira Hernando Beltran,Plomero,Divorciado/a,1803,47,M
78383828,Alejandro Sanchez Bellido,Tecnico de laboratorio,Viudo/a,8550,40,M
55071926,Teodoro del Martinez,Marketing Digital,Viudo/a,8533,28,F
35334408,Arcelia Palacios,Comerciante,Divorciado/a,4124,56,F
40447228,Anita Grau Bayon,Marketing Digital,Soltero/a,1406,47,F
63299734,Adoracion Alamo Jover,Agricultor,Soltero/a,5962,55,F
