DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
29528768,Candelaria Silva Fernandez,Veterinario,Soltero/a,11238,65,F
92924690,Anibal Mari Iglesia,Abogado,Soltero/a,2672,54,M
3847102,Ildefonso Amaya Pera,Abogado,Casado/a,1423,63,F
23987649,Alejandro Amores Suarez,Gerente,Soltero/a,17556,65,F
13527990,Bernarda Arcelia Amoros Borras,Plomero,Viudo/a,1341,20,F
52317467,Lilia Galindo,Docente,Soltero/a,17448,26,F
47718642,Reyna Mosquera,Chef,Divorciado/a,1483,27,F
30119802,Agustina Delgado Simo,Contador,Casado/a,3205,73,M
85672669,Clara Zaragoza Quevedo,Bombero,Divorciado/a,3765,72,M
55528516,Angeles de Pujol,Arquitecto,Divorciado/a,9152,18,F
2224875,Paula Hernandez Calderon,Carpintero,Viudo/a,6931,49,M
65049149,Cruz Nebot Ocana,Arquitecto,Casado/a,8494,34,M
70064721,Florinda Marta Pinedo Estevez,Analista de datos,Divorciado/a,2973,60,F
96369956,Ines Osuna-Bosch,Disenador,Soltero/a,8587,42,F
14823058,Claudia Agullo-Ripoll,Psicologo,Casado/a,17863,47,F
43561938,Felix Gordillo Quintero,Bombero,Viudo/a,17061,41,F
2480248,Juan Carlos Garmendia Alvarez,Contador,Casado/a,6780,35,F
96489006,Joel Cortes Gallo,Analista de datos,Casado/a,2851,62,F
42018340,Maxi Rivas-Alcolea,Plomero,Soltero/a,8508,37,M
7085336,Adrian Bonet Sureda,Tecnico de laboratorio,Soltero/a,8219,24,F
83960774,Candida Robledo,Gerente,Casado/a,9652,22,F
98101878,Itziar Codina Fernandez,Ingeniero,Casado/a,13344,32,F
99782778,Miguel Angel Joaquin Bernal Pinto,Cientifico,Casado/a,9978,36,F
47616013,Cecilia Duran Aguilera,Actor,Viudo/a,5912,46,M
36555002,Abril Perales Lucena,Biotecnologo,Casado/a,1497,76,F
16300658,Maria Dolores Mugica Casanova,Veterinario,Divorciado/a,2437,42,M
62223501,Etelvina Rius Alcazar,Carpintero,Viudo/a,7772,19,M
26449222,Abel Agudo-Camps,Bombero,Soltero/a,8178,50,M
83809909,Purificacion del Vigil,Agricultor,Viudo/a,8937,45,M
8374849,Alejandra Escamilla Iborra,Psicologo,Soltero/a,3967,55,M
68955820,Teo Cal-Llano,Tecnico de laboratorio,Soltero/a,1068,80,F
35308459,Nazario Tejedor Bartolome,Contador,Viudo/a,4113,24,M
57454677,Pablo Alberto Padilla,Gerente,Casado/a,11900,53,F
76664956,Rosalina Belda Avila,Veterinario,Soltero/a,3163,57,M
20730577,Florencia Maribel Llobet Macias,Actor,Casado/a,8002,21,F
32724219,Roldan Aguilo Sureda,Plomero,Casado/a,5397,21,M
9694635,Mireia Montes Arteaga,Chef,Soltero/a,2924,38,F
