DNI,Nombre,Ocupacion,Estado Civil,Ingreso Mensual,Edad,Sexo
2110473,Cecilio Vega-Torrens,Marketing Digital,Divorciado/a,9134,48,M
3145578,Guadalupe Bernat Diaz,Marketing Digital,Soltero/a,9338,72,M
50978947,Gabino Arenas,Medico,Viudo/a,18702,78,F
91293044,Edelmira Lledo Palau,Arquitecto,Viudo/a,18215,64,F
48157486,Jose Mari Lucho Batlle Rosello,Comerciante,Soltero/a,16220,23,F
3761670,Carmela Mari Padilla,Psicologo,Casado/a,2434,35,F
26997030,Luna Arroyo Madrigal,Biotecnologo,Soltero/a,4556,74,F
11391627,Severino Pavon Arjona,Analista de datos,Soltero/a,1077,31,M
43568488,Josefa Marti-Carnero,Carpintero,Viudo/a,5520,26,F
17118997,Julio Cesar Narvaez-Andreu,Agricultor,Viudo/a,8447,49,F
82072296,Bautista Barcena Benitez,Plomero,Casado/a,9535,74,F
22402461,Celestina Frutos Peralta,Agricultor,Soltero/a,12191,42,F
43278792,Ale Flor Saldana Vilanova,Chef,Soltero/a,4663,63,F
91905679,Aurelio Calleja Criado,Veterinario,Viudo/a,3188,46,M
70255645,Ani Pelayo Pedraza,Medico,Soltero/a,3062,62,M
97018798,Jeremias Vallejo Vicente,Cientifico,Divorciado/a,18456,40,F
94098941,Hernando Polo Zorrilla,Analista de datos,Divorciado/a,9413,40,M
23881737,Jorge de Blazquez,Psicologo,Casado/a,3283,64,M
51602891,Gracia Patino Boada,Programador,Soltero/a,5778,22,F
17500529,Miguel Angel Gomis Barcena,Actor,Divorciado/a,8137,33,F
75311529,Leonor Almeida Polo,Biotecnologo,Casado/a,3375,65,F
81034144,Noa Ruiz,Analista de datos,Casado/a,1698,45,F
57637314,Carmelo Lino Toledo Garmendia,Programador,Soltero/a,1656,31,F
54111860,Timoteo Menendez Llobet,Gerente,Viudo/a,18030,36,F
6568657,Marisa Torrens Velazquez,Disenador,Divorciado/a,7289,74,M
82108667,Azahara Lloret Paniagua,Consultor,Viudo/a,1633,28,M
58335328,Olalla Montserrat Bernad Alberto,Medico,Viudo/a,18936,74,F
79722885,Cristian Bustamante Sola,Carpintero,Viudo/a,5467,37,M
26738237,Lucio Bru Pellicer,Carpintero,Viudo/a,3064,32,F
92739726,Vasco Hernandez Jimenez,Docente,Divorciado/a,4027,32,M
7512239,Anita de Abad,Biotecnologo,Viudo/a,9775,75,M
4479039,Flavio del Casanovas,Consultor,Viudo/a,7014,43,F
67901199,Sofia Iglesia Hernando,Cientifico,Viudo/a,8951,65,M
72449136,Amaro Rubio Mendoza,Bombero,Casado/a,10133,68,F
99981087,Leocadio Bustos Sarmiento,Arquitecto,Soltero/a,9650,45,F
19267822,Lorenza Jover Gaya,Analista de datos,Divorciado/a,4246,33,F
78344952,Olimpia Izaguirre Ramirez,Agricultor,Divorciado/a,8380,63,F
82287089,Manu Baquero Sacristan,Enfermero,Casado/a,14224,19,F
62571468,Nicanor Folch Ferreras,Chef,Divorciado/a,5750,34,M
41113981,Juan Bautista Americo Mulet Barco,Veterinario,Soltero/a,9418,31,F
11929012,Clementina Martin Cabanillas,Programador,Divorciado/a,19122,48,M
2295819,Fabiana Gutierrez Estrada,Gerente,Divorciado/a,13347,57,F
12288611,Dorita Isabel Patino Alegria,Arquitecto,Divorciado/a,4637,57,M
4935306,Laura Alvarez,Chef,Soltero/a,5779,46,M
96399930,Fortunata Felicia Correa Cid,Docente,Casado/a,8510,48,M
38375962,Santos del Heredia,Enfermero,Divorciado/a,2016,58,F
89847024,Aristides de Lerma,Tecnico de laboratorio,Casado/a,15795,29,M
60147541,Juan Luis Rosales Avila,Contador,Soltero/a,9920,25,M
65198529,Silvio Camilo Villegas Portillo,Arquitecto,Soltero/a,2385,46,F
44270465,Lupita Buendia,Programador,Divorciado/a,1776,63,F
75620902,Marina Catalina Fiol Fabregas,Actor,Soltero/a,1118,23,M
13634974,Yaiza Martina Martorell Linares,Abogado,Casado/a,7095,63,M
71488277,Estela Pena Bermudez,Disenador,Casado/a,13713,35,F
7265187,Evaristo Garces Espinosa,Carpintero,Viudo/a,6550,56,F
68725967,Alma Delgado Carreras,Cantante,Soltero/a,1977,51,F
96069402,Silvia Almazan Arteaga,Policia,Soltero/a,6217,54,M
17681939,Micaela Jimenez Pablo,Disenador,Viudo/a,1551,49,F
